key,trial_id,mode,delta,correct_choice,model_choice,is_correct,min_foil_distance_m
human_p01,c2_colour_d090_t01,c2_colour,90,2,2,1,8.410
human_p01,c2_colour_d090_t02,c2_colour,90,3,3,1,10.720
human_p01,c2_colour_d090_t08,c2_colour,90,3,4,0,8.410
human_p01,c2_colour_d090_t12,c2_colour,90,1,1,1,10.150
human_p01,c2_colour_d135_t01,c2_colour,135,3,3,1,8.680
human_p01,c2_colour_d135_t04,c2_colour,135,2,2,1,5.820
human_p01,c2_colour_d135_t11,c2_colour,135,1,1,1,7.110
human_p01,c2_colour_d135_t15,c2_colour,135,1,2,0,4.510
human_p01,c2_colour_d180_t13,c2_colour,180,2,2,1,9.990
human_p01,c2_colour_d180_t14,c2_colour,180,3,3,1,2.740
human_p01,c2_colour_d180_t15,c2_colour,180,2,3,0,5.180
human_p01,c2_colour_d180_t18,c2_colour,180,2,2,1,6.700
human_p01,c3_peaks_bare_d000_t06,c3_peaks_bare,0,2,2,1,7.640
human_p01,c3_peaks_bare_d000_t10,c3_peaks_bare,0,1,1,1,7.620
human_p01,c3_peaks_bare_d000_t16,c3_peaks_bare,0,4,4,1,6.070
human_p01,c3_peaks_bare_d000_t18,c3_peaks_bare,0,4,4,1,8.430
human_p01,c3_peaks_bare_d045_t03,c3_peaks_bare,45,3,3,1,6.560
human_p01,c3_peaks_bare_d045_t05,c3_peaks_bare,45,2,1,0,5.800
human_p01,c3_peaks_bare_d045_t12,c3_peaks_bare,45,3,3,1,11.050
human_p01,c3_peaks_bare_d045_t18,c3_peaks_bare,45,2,2,1,8.020
human_p01,c3_peaks_bare_d090_t03,c3_peaks_bare,90,3,4,0,3.680
human_p01,c3_peaks_bare_d090_t06,c3_peaks_bare,90,1,1,1,5.800
human_p01,c3_peaks_bare_d090_t07,c3_peaks_bare,90,2,2,1,5.790
human_p01,c3_peaks_bare_d090_t17,c3_peaks_bare,90,3,3,1,11.070
human_p01,c3_peaks_bare_d135_t06,c3_peaks_bare,135,4,4,1,5.180
human_p01,c3_peaks_bare_d135_t07,c3_peaks_bare,135,4,4,1,7.640
human_p01,c3_peaks_bare_d135_t12,c3_peaks_bare,135,2,2,1,7.930
human_p01,c3_peaks_bare_d135_t19,c3_peaks_bare,135,3,3,1,10.640
human_p01,c3_peaks_bare_d180_t03,c3_peaks_bare,180,1,1,1,5.410
human_p01,c3_peaks_bare_d180_t08,c3_peaks_bare,180,3,3,1,10.730
human_p01,c3_peaks_bare_d180_t09,c3_peaks_bare,180,2,2,1,4.510
human_p01,c3_peaks_bare_d180_t19,c3_peaks_bare,180,2,3,0,5.690
human_p01,c4_valley_d000_t05,c4_valley,0,1,1,1,6.970
human_p01,c4_valley_d000_t11,c4_valley,0,2,2,1,3.470
human_p01,c4_valley_d000_t12,c4_valley,0,2,2,1,7.700
human_p01,c4_valley_d000_t17,c4_valley,0,1,1,1,5.650
human_p01,c4_valley_d045_t02,c4_valley,45,2,2,1,6.920
human_p01,c4_valley_d045_t04,c4_valley,45,1,1,1,6.700
human_p01,c4_valley_d045_t06,c4_valley,45,4,4,1,5.970
human_p01,c4_valley_d045_t19,c4_valley,45,2,2,1,5.690
human_p01,c4_valley_d090_t00,c4_valley,90,4,4,1,8.160
human_p01,c4_valley_d090_t10,c4_valley,90,2,2,1,9.430
human_p01,c4_valley_d090_t12,c4_valley,90,3,3,1,10.510
human_p01,c4_valley_d090_t15,c4_valley,90,3,3,1,9.030
human_p01,c4_valley_d135_t01,c4_valley,135,3,3,1,3.110
human_p01,c4_valley_d135_t03,c4_valley,135,1,2,0,6.310
human_p01,c4_valley_d135_t09,c4_valley,135,3,1,0,6.520
human_p01,c4_valley_d135_t10,c4_valley,135,3,3,1,3.930
human_p01,c4_valley_d180_t09,c4_valley,180,3,3,1,10.510
human_p01,c4_valley_d180_t10,c4_valley,180,4,2,0,5.220
human_p01,c4_valley_d180_t12,c4_valley,180,3,3,1,3.110
human_p01,c4_valley_d180_t13,c4_valley,180,4,4,1,6.450
luna,c0_shape_colour_d045_t11,c0_shape_colour,45,2,1,0,4.570
luna,c0_shape_colour_d000_t18,c0_shape_colour,0,3,3,1,6.270
luna,c0_shape_colour_d000_t10,c0_shape_colour,0,1,1,1,7.060
luna,c0_shape_colour_d000_t16,c0_shape_colour,0,4,4,1,6.240
luna,c0_shape_colour_d000_t14,c0_shape_colour,0,1,1,1,4.400
luna,c0_shape_colour_d045_t00,c0_shape_colour,45,4,4,1,6.470
luna,c0_shape_colour_d090_t17,c0_shape_colour,90,3,3,1,6.040
luna,c0_shape_colour_d135_t00,c0_shape_colour,135,3,2,0,3.680
luna,c0_shape_colour_d135_t07,c0_shape_colour,135,4,3,0,6.070
luna,c0_shape_colour_d090_t07,c0_shape_colour,90,2,3,0,6.860
luna,c0_shape_colour_d045_t13,c0_shape_colour,45,1,3,0,6.520
luna,c0_shape_colour_d180_t06,c0_shape_colour,180,3,1,0,5.390
luna,c0_shape_colour_d090_t19,c0_shape_colour,90,2,2,1,10.660
luna,c0_shape_colour_d135_t02,c0_shape_colour,135,4,1,0,10.550
luna,c0_shape_colour_d090_t18,c0_shape_colour,90,4,1,0,6.400
luna,c0_shape_colour_d180_t18,c0_shape_colour,180,4,4,1,5.800
luna,c1_shape_d000_t00,c1_shape,0,2,2,1,5.510
luna,c1_shape_d000_t01,c1_shape,0,3,3,1,4.840
luna,c0_shape_colour_d045_t16,c0_shape_colour,45,3,3,1,5.510
luna,c1_shape_d000_t18,c1_shape,0,2,2,1,3.110
luna,c1_shape_d000_t19,c1_shape,0,4,4,1,7.510
luna,c1_shape_d045_t16,c1_shape,45,4,3,0,7.930
luna,c1_shape_d045_t13,c1_shape,45,2,4,0,8.780
luna,c1_shape_d090_t04,c1_shape,90,1,4,0,8.410
luna,c0_shape_colour_d180_t13,c0_shape_colour,180,4,1,0,6.310
luna,c1_shape_d090_t08,c1_shape,90,3,4,0,8.240
luna,c0_shape_colour_d135_t12,c0_shape_colour,135,2,4,0,5.800
luna,c1_shape_d045_t08,c1_shape,45,3,3,1,5.220
luna,c1_shape_d045_t12,c1_shape,45,4,2,0,8.730
luna,c1_shape_d090_t07,c1_shape,90,2,2,1,5.610
luna,c1_shape_d135_t07,c1_shape,135,4,2,0,5.930
luna,c1_shape_d135_t18,c1_shape,135,4,3,0,5.180
luna,c1_shape_d090_t12,c1_shape,90,1,2,0,8.120
luna,c1_shape_d180_t10,c1_shape,180,2,4,0,9.940
luna,c0_shape_colour_d180_t17,c0_shape_colour,180,4,4,1,3.470
luna,c1_shape_d180_t08,c1_shape,180,3,3,1,7.720
luna,c1_shape_d180_t15,c1_shape,180,4,3,0,4.570
luna,c2_colour_d000_t11,c2_colour,0,2,2,1,10.270
luna,c2_colour_d000_t02,c2_colour,0,2,2,1,5.960
luna,c2_colour_d000_t19,c2_colour,0,3,3,1,7.110
luna,c2_colour_d000_t12,c2_colour,0,4,4,1,6.520
luna,c2_colour_d045_t18,c2_colour,45,4,1,0,5.950
luna,c2_colour_d090_t02,c2_colour,90,3,1,0,10.720
luna,c1_shape_d135_t14,c1_shape,135,4,1,0,8.990
luna,c2_colour_d090_t01,c2_colour,90,2,3,0,8.410
luna,c1_shape_d180_t13,c1_shape,180,4,3,0,3.710
luna,c1_shape_d135_t10,c1_shape,135,3,1,0,7.060
luna,c2_colour_d090_t08,c2_colour,90,3,4,0,8.410
luna,c2_colour_d135_t04,c2_colour,135,2,4,0,5.820
luna,c2_colour_d045_t00,c2_colour,45,2,2,1,5.220
luna,c2_colour_d045_t06,c2_colour,45,3,1,0,6.900
luna,c2_colour_d090_t12,c2_colour,90,1,1,1,10.150
luna,c2_colour_d045_t19,c2_colour,45,1,1,1,7.440
luna,c2_colour_d135_t11,c2_colour,135,1,2,0,7.110
luna,c2_colour_d180_t18,c2_colour,180,2,4,0,6.700
luna,c3_peaks_bare_d000_t06,c3_peaks_bare,0,2,2,1,7.640
luna,c2_colour_d180_t15,c2_colour,180,2,2,1,5.180
luna,c3_peaks_bare_d000_t16,c3_peaks_bare,0,4,4,1,6.070
luna,c3_peaks_bare_d000_t18,c3_peaks_bare,0,4,4,1,8.430
luna,c2_colour_d180_t14,c2_colour,180,3,3,1,2.740
luna,c3_peaks_bare_d000_t10,c3_peaks_bare,0,1,1,1,7.620
luna,c3_peaks_bare_d045_t03,c3_peaks_bare,45,3,4,0,6.560
luna,c2_colour_d180_t13,c2_colour,180,2,2,1,9.990
luna,c3_peaks_bare_d045_t12,c3_peaks_bare,45,3,4,0,11.050
luna,c3_peaks_bare_d045_t05,c3_peaks_bare,45,2,2,1,5.800
luna,c2_colour_d135_t15,c2_colour,135,1,1,1,4.510
luna,c3_peaks_bare_d090_t06,c3_peaks_bare,90,1,2,0,5.800
luna,c3_peaks_bare_d090_t07,c3_peaks_bare,90,2,2,1,5.790
luna,c2_colour_d135_t01,c2_colour,135,3,3,1,8.680
luna,c3_peaks_bare_d090_t03,c3_peaks_bare,90,3,4,0,3.680
luna,c3_peaks_bare_d135_t06,c3_peaks_bare,135,4,1,0,5.180
luna,c3_peaks_bare_d135_t19,c3_peaks_bare,135,3,1,0,10.640
luna,c3_peaks_bare_d135_t12,c3_peaks_bare,135,2,4,0,7.930
luna,c3_peaks_bare_d090_t17,c3_peaks_bare,90,3,1,0,11.070
luna,c4_valley_d000_t05,c4_valley,0,1,1,1,6.970
luna,c3_peaks_bare_d180_t19,c3_peaks_bare,180,2,2,1,5.690
luna,c4_valley_d000_t11,c4_valley,0,2,2,1,3.470
luna,c3_peaks_bare_d180_t03,c3_peaks_bare,180,1,2,0,5.410
luna,c3_peaks_bare_d045_t18,c3_peaks_bare,45,2,2,1,8.020
luna,c3_peaks_bare_d180_t09,c3_peaks_bare,180,2,4,0,4.510
luna,c4_valley_d000_t12,c4_valley,0,2,2,1,7.700
luna,c4_valley_d000_t17,c4_valley,0,1,1,1,5.650
luna,c4_valley_d045_t02,c4_valley,45,2,1,0,6.920
luna,c3_peaks_bare_d180_t08,c3_peaks_bare,180,3,3,1,10.730
luna,c4_valley_d045_t06,c4_valley,45,4,1,0,5.970
luna,c4_valley_d090_t12,c4_valley,90,3,3,1,10.510
luna,c4_valley_d045_t19,c4_valley,45,2,4,0,5.690
luna,c3_peaks_bare_d135_t07,c3_peaks_bare,135,4,3,0,7.640
luna,c4_valley_d090_t15,c4_valley,90,3,4,0,9.030
luna,c4_valley_d135_t01,c4_valley,135,3,1,0,3.110
luna,c4_valley_d090_t10,c4_valley,90,2,4,0,9.430
luna,c4_valley_d180_t09,c4_valley,180,3,4,0,10.510
luna,c4_valley_d180_t12,c4_valley,180,3,1,0,3.110
luna,c4_valley_d135_t10,c4_valley,135,3,4,0,3.930
luna,c4_valley_d180_t13,c4_valley,180,4,4,1,6.450
luna,c4_valley_d135_t09,c4_valley,135,3,1,0,6.520
luna,c4_valley_d090_t00,c4_valley,90,4,4,1,8.160
luna,c4_valley_d045_t04,c4_valley,45,1,2,0,6.700
luna,c4_valley_d180_t10,c4_valley,180,4,3,0,5.220
luna,c4_valley_d135_t03,c4_valley,135,1,4,0,6.310
gemini38,c0_shape_colour_d045_t13,c0_shape_colour,45,1,,0,6.520
gemini38,c0_shape_colour_d000_t16,c0_shape_colour,0,4,4,1,6.240
gemini38,c0_shape_colour_d045_t11,c0_shape_colour,45,2,4,0,4.570
gemini38,c0_shape_colour_d000_t18,c0_shape_colour,0,3,2,0,6.270
gemini38,c0_shape_colour_d000_t14,c0_shape_colour,0,1,1,1,4.400
gemini38,c0_shape_colour_d000_t10,c0_shape_colour,0,1,1,1,7.060
gemini38,c0_shape_colour_d090_t07,c0_shape_colour,90,2,2,1,6.860
gemini38,c0_shape_colour_d090_t18,c0_shape_colour,90,4,4,1,6.400
gemini38,c0_shape_colour_d045_t00,c0_shape_colour,45,4,3,0,6.470
gemini38,c0_shape_colour_d045_t16,c0_shape_colour,45,3,1,0,5.510
gemini38,c0_shape_colour_d090_t19,c0_shape_colour,90,2,4,0,10.660
gemini38,c0_shape_colour_d090_t17,c0_shape_colour,90,3,3,1,6.040
gemini38,c0_shape_colour_d180_t06,c0_shape_colour,180,3,3,1,5.390
gemini38,c0_shape_colour_d135_t00,c0_shape_colour,135,3,1,0,3.680
gemini38,c0_shape_colour_d135_t02,c0_shape_colour,135,4,2,0,10.550
gemini38,c0_shape_colour_d135_t12,c0_shape_colour,135,2,1,0,5.800
gemini38,c0_shape_colour_d180_t18,c0_shape_colour,180,4,4,1,5.800
gemini38,c0_shape_colour_d135_t07,c0_shape_colour,135,4,1,0,6.070
gemini38,c0_shape_colour_d180_t17,c0_shape_colour,180,4,2,0,3.470
gemini38,c0_shape_colour_d180_t13,c0_shape_colour,180,4,4,1,6.310
gemini38,c1_shape_d000_t01,c1_shape,0,3,1,0,4.840
gemini38,c1_shape_d000_t18,c1_shape,0,2,1,0,3.110
gemini38,c1_shape_d045_t13,c1_shape,45,2,1,0,8.780
gemini38,c1_shape_d045_t08,c1_shape,45,3,1,0,5.220
gemini38,c1_shape_d000_t00,c1_shape,0,2,4,0,5.510
gemini38,c1_shape_d045_t16,c1_shape,45,4,2,0,7.930
gemini38,c1_shape_d045_t12,c1_shape,45,4,4,1,8.730
gemini38,c1_shape_d090_t07,c1_shape,90,2,1,0,5.610
gemini38,c1_shape_d000_t19,c1_shape,0,4,4,1,7.510
gemini38,c1_shape_d090_t08,c1_shape,90,3,3,1,8.240
gemini38,c1_shape_d135_t14,c1_shape,135,4,3,0,8.990
gemini38,c1_shape_d135_t07,c1_shape,135,4,2,0,5.930
gemini38,c1_shape_d090_t04,c1_shape,90,1,2,0,8.410
gemini38,c1_shape_d135_t18,c1_shape,135,4,4,1,5.180
gemini38,c1_shape_d135_t10,c1_shape,135,3,1,0,7.060
gemini38,c1_shape_d180_t08,c1_shape,180,3,3,1,7.720
gemini38,c1_shape_d090_t12,c1_shape,90,1,1,1,8.120
gemini38,c2_colour_d000_t02,c2_colour,0,2,2,1,5.960
gemini38,c2_colour_d000_t19,c2_colour,0,3,3,1,7.110
gemini38,c1_shape_d180_t13,c1_shape,180,4,4,1,3.710
gemini38,c2_colour_d000_t11,c2_colour,0,2,2,1,10.270
gemini38,c2_colour_d045_t06,c2_colour,45,3,3,1,6.900
gemini38,c1_shape_d180_t15,c1_shape,180,4,1,0,4.570
gemini38,c1_shape_d180_t10,c1_shape,180,2,3,0,9.940
gemini38,c2_colour_d000_t12,c2_colour,0,4,1,0,6.520
gemini38,c2_colour_d045_t00,c2_colour,45,2,2,1,5.220
gemini38,c2_colour_d090_t01,c2_colour,90,2,4,0,8.410
gemini38,c2_colour_d090_t02,c2_colour,90,3,1,0,10.720
gemini38,c2_colour_d045_t19,c2_colour,45,1,1,1,7.440
gemini38,c2_colour_d090_t08,c2_colour,90,3,4,0,8.410
gemini38,c2_colour_d135_t11,c2_colour,135,1,2,0,7.110
gemini38,c2_colour_d090_t12,c2_colour,90,1,1,1,10.150
gemini38,c2_colour_d135_t01,c2_colour,135,3,4,0,8.680
gemini38,c2_colour_d045_t18,c2_colour,45,4,3,0,5.950
gemini38,c2_colour_d135_t15,c2_colour,135,1,1,1,4.510
gemini38,c2_colour_d180_t13,c2_colour,180,2,2,1,9.990
gemini38,c2_colour_d135_t04,c2_colour,135,2,1,0,5.820
gemini38,c2_colour_d180_t18,c2_colour,180,2,2,1,6.700
gemini38,c3_peaks_bare_d000_t16,c3_peaks_bare,0,4,4,1,6.070
gemini38,c3_peaks_bare_d000_t06,c3_peaks_bare,0,2,2,1,7.640
gemini38,c2_colour_d180_t14,c2_colour,180,3,1,0,2.740
gemini38,c3_peaks_bare_d045_t03,c3_peaks_bare,45,3,3,1,6.560
gemini38,c3_peaks_bare_d000_t10,c3_peaks_bare,0,1,1,1,7.620
gemini38,c3_peaks_bare_d045_t12,c3_peaks_bare,45,3,3,1,11.050
gemini38,c3_peaks_bare_d000_t18,c3_peaks_bare,0,4,1,0,8.430
gemini38,c2_colour_d180_t15,c2_colour,180,2,1,0,5.180
gemini38,c3_peaks_bare_d090_t03,c3_peaks_bare,90,3,2,0,3.680
gemini38,c3_peaks_bare_d045_t18,c3_peaks_bare,45,2,4,0,8.020
gemini38,c3_peaks_bare_d090_t17,c3_peaks_bare,90,3,3,1,11.070
gemini38,c3_peaks_bare_d135_t06,c3_peaks_bare,135,4,2,0,5.180
gemini38,c3_peaks_bare_d090_t06,c3_peaks_bare,90,1,1,1,5.800
gemini38,c3_peaks_bare_d045_t05,c3_peaks_bare,45,2,4,0,5.800
gemini38,c3_peaks_bare_d090_t07,c3_peaks_bare,90,2,2,1,5.790
gemini38,c3_peaks_bare_d135_t07,c3_peaks_bare,135,4,3,0,7.640
gemini38,c3_peaks_bare_d180_t03,c3_peaks_bare,180,1,1,1,5.410
gemini38,c4_valley_d000_t05,c4_valley,0,1,1,1,6.970
gemini38,c3_peaks_bare_d180_t08,c3_peaks_bare,180,3,1,0,10.730
gemini38,c3_peaks_bare_d180_t19,c3_peaks_bare,180,2,3,0,5.690
gemini38,c4_valley_d000_t12,c4_valley,0,2,2,1,7.700
gemini38,c3_peaks_bare_d180_t09,c3_peaks_bare,180,2,3,0,4.510
gemini38,c4_valley_d045_t02,c4_valley,45,2,2,1,6.920
gemini38,c3_peaks_bare_d135_t12,c3_peaks_bare,135,2,2,1,7.930
gemini38,c3_peaks_bare_d135_t19,c3_peaks_bare,135,3,2,0,10.640
gemini38,c4_valley_d000_t11,c4_valley,0,2,4,0,3.470
gemini38,c4_valley_d045_t06,c4_valley,45,4,4,1,5.970
gemini38,c4_valley_d090_t10,c4_valley,90,2,4,0,9.430
gemini38,c4_valley_d000_t17,c4_valley,0,1,1,1,5.650
gemini38,c4_valley_d135_t01,c4_valley,135,3,1,0,3.110
gemini38,c4_valley_d090_t00,c4_valley,90,4,2,0,8.160
gemini38,c4_valley_d045_t04,c4_valley,45,1,1,1,6.700
gemini38,c4_valley_d090_t12,c4_valley,90,3,4,0,10.510
gemini38,c4_valley_d045_t19,c4_valley,45,2,4,0,5.690
gemini38,c4_valley_d135_t03,c4_valley,135,1,4,0,6.310
gemini38,c4_valley_d135_t10,c4_valley,135,3,4,0,3.930
gemini38,c4_valley_d135_t09,c4_valley,135,3,1,0,6.520
gemini38,c4_valley_d090_t15,c4_valley,90,3,3,1,9.030
gemini38,c4_valley_d180_t12,c4_valley,180,3,3,1,3.110
gemini38,c4_valley_d180_t09,c4_valley,180,3,1,0,10.510
gemini38,c4_valley_d180_t13,c4_valley,180,4,1,0,6.450
gemini38,c4_valley_d180_t10,c4_valley,180,4,1,0,5.220
qwen3vl_235b_it,c0_shape_colour_d045_t16,c0_shape_colour,45,3,1,0,5.510
qwen3vl_235b_it,c0_shape_colour_d045_t00,c0_shape_colour,45,4,4,1,6.470
qwen3vl_235b_it,c0_shape_colour_d000_t18,c0_shape_colour,0,3,3,1,6.270
qwen3vl_235b_it,c0_shape_colour_d000_t14,c0_shape_colour,0,1,1,1,4.400
qwen3vl_235b_it,c0_shape_colour_d045_t11,c0_shape_colour,45,2,1,0,4.570
qwen3vl_235b_it,c0_shape_colour_d000_t10,c0_shape_colour,0,1,1,1,7.060
qwen3vl_235b_it,c0_shape_colour_d000_t16,c0_shape_colour,0,4,4,1,6.240
qwen3vl_235b_it,c0_shape_colour_d090_t17,c0_shape_colour,90,3,4,0,6.040
qwen3vl_235b_it,c0_shape_colour_d090_t18,c0_shape_colour,90,4,1,0,6.400
qwen3vl_235b_it,c0_shape_colour_d090_t19,c0_shape_colour,90,2,1,0,10.660
qwen3vl_235b_it,c0_shape_colour_d135_t00,c0_shape_colour,135,3,2,0,3.680
qwen3vl_235b_it,c0_shape_colour_d090_t07,c0_shape_colour,90,2,1,0,6.860
qwen3vl_235b_it,c0_shape_colour_d135_t02,c0_shape_colour,135,4,1,0,10.550
qwen3vl_235b_it,c1_shape_d000_t00,c1_shape,0,2,2,1,5.510
qwen3vl_235b_it,c0_shape_colour_d135_t12,c0_shape_colour,135,2,1,0,5.800
qwen3vl_235b_it,c0_shape_colour_d180_t18,c0_shape_colour,180,4,1,0,5.800
qwen3vl_235b_it,c0_shape_colour_d180_t13,c0_shape_colour,180,4,1,0,6.310
qwen3vl_235b_it,c0_shape_colour_d180_t06,c0_shape_colour,180,3,1,0,5.390
qwen3vl_235b_it,c0_shape_colour_d180_t17,c0_shape_colour,180,4,4,1,3.470
qwen3vl_235b_it,c1_shape_d045_t08,c1_shape,45,3,3,1,5.220
qwen3vl_235b_it,c1_shape_d000_t19,c1_shape,0,4,4,1,7.510
qwen3vl_235b_it,c1_shape_d000_t18,c1_shape,0,2,2,1,3.110
qwen3vl_235b_it,c1_shape_d000_t01,c1_shape,0,3,3,1,4.840
qwen3vl_235b_it,c1_shape_d045_t12,c1_shape,45,4,2,0,8.730
qwen3vl_235b_it,c1_shape_d045_t13,c1_shape,45,2,4,0,8.780
qwen3vl_235b_it,c1_shape_d045_t16,c1_shape,45,4,3,0,7.930
qwen3vl_235b_it,c1_shape_d090_t04,c1_shape,90,1,4,0,8.410
qwen3vl_235b_it,c1_shape_d090_t08,c1_shape,90,3,4,0,8.240
qwen3vl_235b_it,c1_shape_d090_t07,c1_shape,90,2,3,0,5.610
qwen3vl_235b_it,c1_shape_d090_t12,c1_shape,90,1,2,0,8.120
qwen3vl_235b_it,c1_shape_d135_t07,c1_shape,135,4,1,0,5.930
qwen3vl_235b_it,c1_shape_d135_t10,c1_shape,135,3,4,0,7.060
qwen3vl_235b_it,c1_shape_d180_t13,c1_shape,180,4,3,0,3.710
qwen3vl_235b_it,c1_shape_d180_t10,c1_shape,180,2,4,0,9.940
qwen3vl_235b_it,c1_shape_d135_t18,c1_shape,135,4,3,0,5.180
qwen3vl_235b_it,c1_shape_d135_t14,c1_shape,135,4,1,0,8.990
qwen3vl_235b_it,c1_shape_d180_t08,c1_shape,180,3,1,0,7.720
qwen3vl_235b_it,c2_colour_d000_t19,c2_colour,0,3,3,1,7.110
qwen3vl_235b_it,c2_colour_d000_t12,c2_colour,0,4,4,1,6.520
qwen3vl_235b_it,c1_shape_d180_t15,c1_shape,180,4,3,0,4.570
qwen3vl_235b_it,c2_colour_d000_t11,c2_colour,0,2,2,1,10.270
qwen3vl_235b_it,c2_colour_d045_t00,c2_colour,45,2,2,1,5.220
qwen3vl_235b_it,c2_colour_d000_t02,c2_colour,0,2,2,1,5.960
qwen3vl_235b_it,c2_colour_d045_t18,c2_colour,45,4,1,0,5.950
qwen3vl_235b_it,c2_colour_d045_t19,c2_colour,45,1,1,1,7.440
qwen3vl_235b_it,c2_colour_d090_t01,c2_colour,90,2,3,0,8.410
qwen3vl_235b_it,c2_colour_d090_t08,c2_colour,90,3,1,0,8.410
qwen3vl_235b_it,c2_colour_d090_t02,c2_colour,90,3,1,0,10.720
qwen3vl_235b_it,c2_colour_d090_t12,c2_colour,90,1,1,1,10.150
qwen3vl_235b_it,c2_colour_d135_t01,c2_colour,135,3,1,0,8.680
qwen3vl_235b_it,c2_colour_d135_t11,c2_colour,135,1,2,0,7.110
qwen3vl_235b_it,c2_colour_d135_t15,c2_colour,135,1,3,0,4.510
qwen3vl_235b_it,c2_colour_d135_t04,c2_colour,135,2,4,0,5.820
qwen3vl_235b_it,c2_colour_d180_t13,c2_colour,180,2,1,0,9.990
qwen3vl_235b_it,c2_colour_d180_t14,c2_colour,180,3,4,0,2.740
qwen3vl_235b_it,c2_colour_d180_t15,c2_colour,180,2,1,0,5.180
qwen3vl_235b_it,c3_peaks_bare_d000_t10,c3_peaks_bare,0,1,1,1,7.620
qwen3vl_235b_it,c2_colour_d180_t18,c2_colour,180,2,4,0,6.700
qwen3vl_235b_it,c3_peaks_bare_d000_t18,c3_peaks_bare,0,4,4,1,8.430
qwen3vl_235b_it,c3_peaks_bare_d045_t12,c3_peaks_bare,45,3,4,0,11.050
qwen3vl_235b_it,c3_peaks_bare_d045_t03,c3_peaks_bare,45,3,3,1,6.560
qwen3vl_235b_it,c3_peaks_bare_d090_t03,c3_peaks_bare,90,3,1,0,3.680
